lastroad,nextroad,nexthome,lasthome,road,home,diff,count,firstroad,firsthome,firstdiff,secondroad,secondhome,seconddiff
0,1,0,1,95.74,98.36,-2.62,225,48.22,49.37,-1.15,47.52,48.99,-1.47
0,1,0,2,96.2,101.14,-4.94,96,47.61,51.38,-3.77,48.59,49.76,-1.17
0,1,0,345,96.15,97.67,-1.52,28,48.48,49.07,-0.59,47.67,48.6,-0.93
0,1,1,0,95.63,99.14,-3.51,635,47.84,49.87,-2.03,47.79,49.27,-1.48
0,1,1,1,95.92,100.29,-4.37,1400,47.87,50.31,-2.44,48.05,49.98,-1.93
0,1,1,2,96.78,101.12,-4.34,412,48.46,50.91,-2.45,48.32,50.21,-1.89
0,1,1,345,97.1,100.69,-3.59,214,48.25,51.1,-2.85,48.85,49.59,-0.74
0,1,2,0,97.31,100.73,-3.42,208,48.44,50.49,-2.05,48.87,50.24,-1.37
0,1,2,1,96.78,101.23,-4.45,266,48.68,50.48,-1.8,48.1,50.75,-2.65
0,1,2,2,98.1,101.27,-3.17,100,49.48,50.83,-1.35,48.62,50.44,-1.82
0,1,2,345,99,102.7,-3.7,38,48.84,50.43,-1.59,50.16,52.27,-2.11
0,1,345,0,96.7,99.16,-2.46,94,48.41,50.4,-1.99,48.29,48.76,-0.47
0,1,345,1,97.23,102.69,-5.46,78,48.83,51.97,-3.14,48.4,50.72,-2.32
0,1,345,2,97.58,100.39,-2.81,31,48.39,52,-3.61,49.19,48.39,0.8
0,2,0,1,96.08,100.92,-4.84,84,49.2,52.07,-2.87,46.88,48.85,-1.97
0,2,0,345,98,101.42,-3.42,13,47.33,50.83,-3.5,50.67,50.59,0.08
0,2,1,0,96.99,101.06,-4.07,202,47.4,50.37,-2.97,49.59,50.69,-1.1
0,2,1,1,97.17,102.2,-5.03,405,48.67,51.54,-2.87,48.5,50.66,-2.16
0,2,1,2,97.89,103.43,-5.54,126,48.78,51.73,-2.95,49.11,51.7,-2.59
0,2,1,345,94.54,100.66,-6.12,71,45.9,50.99,-5.09,48.64,49.67,-1.03
0,2,2,0,93.97,97.46,-3.49,132,46.77,49.22,-2.45,47.2,48.24,-1.04
0,2,2,1,96.08,100.53,-4.45,149,48.15,50.64,-2.49,47.93,49.89,-1.96
0,2,2,2,94.81,100.74,-5.93,63,47.43,49.25,-1.82,47.38,51.49,-4.11
0,2,2,345,97.41,101.55,-4.14,23,49,51.68,-2.68,48.41,49.87,-1.46
0,2,345,0,94.44,97.25,-2.81,37,47.55,49.25,-1.7,46.89,48,-1.11
0,2,345,1,94.24,98.24,-4,34,46.6,48.39,-1.79,47.64,49.85,-2.21
0,2,345,2,91.94,94.5,-2.56,17,46.37,45.81,0.56,45.57,48.69,-3.12
0,345,0,1,95.09,99.75,-4.66,33,46.84,49.88,-3.04,48.25,49.87,-1.62
0,345,0,2,98.11,104.76,-6.65,18,50.41,53.11,-2.7,47.7,51.65,-3.95
0,345,0,345,95.16,102.33,-7.17,7,42.83,51.01,-8.18,52.33,51.32,1.01
0,345,1,0,95.89,97.43,-1.54,84,47.83,49.5,-1.67,48.06,47.93,0.13
0,345,1,1,96.5,103.01,-6.51,88,48.42,51.75,-3.33,48.08,51.26,-3.18
0,345,1,2,96.63,102.11,-5.48,28,47.59,53.11,-5.52,49.04,49,0.04
0,345,1,345,97.75,102.5,-4.75,5,48.5,48.6,-0.1,49.25,53.9,-4.65
0,345,2,0,93.06,97.56,-4.5,49,46.62,49.54,-2.92,46.44,48.02,-1.58
0,345,2,1,92.07,97.55,-5.48,39,46.39,50.87,-4.48,45.68,46.68,-1
0,345,2,2,96.81,103.4,-6.59,23,47.81,52.18,-4.37,49,51.22,-2.22
