year,date,time,week,roadlast,roadnext,roadteam,roadmore,roadfirst,roadsecond,roadfirsthalf,roadthird,roadforth,roadot,homenext,homenextfly,homelast,homelastfly,hometeam,homemore,homefirst,homesecond,homefirsthalf,homethird,homeforth,homeot,homediff,roadtotal,hometotal,total,firstpoint,secondpoint,totalpoint,firstlinetotal,secondlinetotal,fglinetotal,firstside,secondside,fgside,awaylastfly,awaynextfly,away_win_rank,away_ppg_rank,away_oppppg_rank,home_win_rank,home_ppg_rank,home_oppppg_rank,firstou,secondou,totalou,hometeamlastgame,roadteamlastgame,pace,away_ortg,home_ortg,away_last_home,away_next_home,offset_one,offset_two,firstvalue,secondvalue,totalvalue,first_half_bigger,second_half_bigger,fullgame_bigger
2018,10-Dec,07:00PM,Mon,1,1,Washington,EASTERN,33,17,50,25,26,0,1,NO,1,NO,Indiana,EASTERN,29,30,59,28,22,0,9,101,109,210,109,101,210,109.5,106.5,216,-3,-1,-6,NO,YES,22,11,2,6,25,30,under,under,under,NO,NO,101.6,99.4,107.3,8,1,-11.73,-11.13,97.27,89.87,187.14,HOME,AWAY,HOME
2018,10-Dec,07:00PM,Mon,0,1,Detroit,EASTERN,29,18,47,29,26,0,1,NO,2,YES,Philadelphia,EASTERN,38,18,56,31,29,0,9,102,116,218,103,115,218,112.5,105.5,218,-7,-2.5,-11.5,YES,NO,20,18,17,3,8,10,under,over,0,NO,NO,97.7,104.4,118.8,0,4,-11.73,-11.13,91.27,103.87,195.14,HOME,HOME,HOME
2018,10-Dec,07:30PM,Mon,0,1,New Orleans,CENTRAL,21,32,53,19,28,0,1,YES,1,YES,Boston,EASTERN,28,31,59,24,30,0,6,100,113,213,112,101,213,113.5,109,222.5,-1,1.5,-2.5,NO,YES,13,2,3,10,13,29,under,under,under,NO,NO,98.2,101.8,115.1,2,1,-11.73,-11.13,100.27,89.87,190.14,HOME,HOME,HOME
2018,10-Dec,07:00PM,Mon,1,1,Sacramento,PACIFIC,26,19,45,36,27,0,2,YES,1,NO,Chicago,CENTRAL,33,23,56,18,15,0,11,108,89,197,101,96,197,117.5,110,227,1,4,2,NO,YES,14,6,5,27,30,8,under,under,under,NO,NO,99.1,109,89.8,8,1,-11.73,-11.13,89.27,84.87,174.14,HOME,AWAY,AWAY
2018,10-Dec,07:00PM,Mon,1,1,Cleveland,EASTERN,18,23,41,25,26,0,1,YES,0,YES,Milwaukee,CENTRAL,31,28,59,25,24,0,18,92,108,200,100,100,200,111.5,105,217,-6,0,-10,YES,YES,28,28,11,5,1,20,under,under,under,NO,NO,101,91.1,106.9,1,1,-11.73,-11.13,88.27,88.87,177.14,HOME,AWAY,HOME
2018,10-Dec,07:00PM,Mon,0,1,Utah,MOUNTAIN,22,24,46,29,38,0,1,YES,2,YES,Oklahoma City,CENTRAL,30,27,57,42,23,0,11,113,122,235,103,132,235,104.5,112,218,-3,0.5,-5,NO,YES,16,24,24,9,12,26,under,over,over,NO,NO,105.2,107.4,116,3,1,-11.73,-11.13,91.27,120.87,212.14,HOME,AWAY,HOME
2018,10-Dec,07:30PM,Mon,2,2,Orlando,EASTERN,19,21,40,13,23,0,1,NO,1,NO,Dallas,CENTRAL,24,28,52,23,26,0,12,76,101,177,92,85,177,106.5,103.5,210,-2,1,-5,YES,YES,21,26,23,15,15,22,under,under,under,NO,NO,95.6,79.5,105.7,2,2,-11.73,-11.13,80.27,73.87,154.14,HOME,HOME,HOME
2018,10-Dec,07:00PM,Mon,1,1,Memphis,CENTRAL,22,28,50,33,16,0,3,NO,1,YES,Denver,MOUNTAIN,26,29,55,29,21,0,5,99,105,204,105,99,204,100.5,98,197,-1.5,-0.5,-3.5,YES,YES,11,27,28,4,16,27,over,over,over,NO,NO,87.9,112.7,119.5,1,1,-11.73,-11.13,93.27,87.87,181.14,HOME,HOME,HOME
2018,10-Dec,06:00PM,Mon,1,0,LAC,PACIFIC,21,37,58,30,23,12,0,YES,2,NO,Phoenix,PACIFIC,29,27,56,30,25,8,-2,123,119,242,114,108,222,115,108,223,5,6,9.5,YES,YES,8,4,9,30,29,6,under,0,under,NO,NO,95.3,116.9,113.1,1,0,-11.73,-11.13,102.27,96.87,199.14,HOME,HOME,HOME
2018,10-Dec,07:30PM,Mon,1,1,Minnesota,CENTRAL,24,33,57,20,31,0,1,NO,2,YES,Golden State,PACIFIC,30,33,63,28,25,0,6,108,116,224,120,104,224,117.5,111,229.5,-5.5,-4.5,-9.5,NO,NO,18,17,18,2,3,15,over,under,under,NO,NO,100.9,107.1,115,4,6,-11.73,-11.13,108.27,92.87,201.14,HOME,AWAY,AWAY
