referee_one,referee_two,referee_three,last_count,last_first,last_second,next_count,next_first,next_second
0,0,0,1050,99.17,97.42,997,99.72,97.47
0,0,1,509,97.97,97.36,554,99.1,96.27
0,0,2,545,98.23,97.71,519,99.26,97.56
0,0,3,286,99.51,97.82,287,98.36,97.78
0,0,4,135,99.04,97.82,150,98.74,95.79
0,0,5,52,99.66,98.02,57,100.84,97.95
0,0,6+,144,99.63,98.79,119,100.14,98.15
0,1,0,509,97.97,97.36,554,99.1,97.06
0,1,1,800,98.68,96.03,915,99.1,97.06
0,1,2,571,99.44,96.53,578,98.89,96.59
0,1,3,304,98.38,97.05,305,97.51,95.45
0,1,4,134,98.27,95.73,164,98.53,97.87
0,1,5,56,100.03,96.32,62,97.49,96.01
0,1,6+,101,95.88,95.09,152,98.78,95.61
0,2,0,545,98.23,97.71,519,99.26,97.56
0,2,1,571,99.44,96.53,578,98.89,96.59
0,2,2,460,98.87,96.7,439,98.16,96.46
0,2,3,279,101.3,98.06,254,99.68,99.05
0,2,4,127,98.55,99.49,160,99.73,97.14
0,2,5,65,98.8,94.82,32,101.16,96.93
0,2,6+,114,99.25,96.38,86,102.58,97.57
0,3,0,286,99.51,97.82,287,98.36,97.78
0,3,1,304,98.38,97.05,305,97.51,95.45
0,3,2,279,101.3,98.06,254,99.68,99.05
0,3,3,119,98.07,97.84,126,97.62,94.73
0,3,4,62,97.52,98.28,77,98.87,95.39
0,3,5,28,101.96,99.61,32,100.46,96.01
0,3,6+,69,102.52,97.3,49,98.11,99.41
0,4,0,135,99.04,97.82,150,98.74,95.79
0,4,1,134,98.27,95.73,164,98.53,97.87
0,4,2,127,98.55,99.49,160,99.73,97.14
0,4,3,62,97.52,98.28,77,98.87,95.39
0,4,4,31,97.18,96.72,37,102.44,99.97
0,4,5,15,102.32,94.97,14,104.84,94.07
0,4,6+,26,98.69,98.34,28,94.72,98.39
0,5,0,52,99.66,98.02,57,100.84,97.95
0,5,1,56,100.03,96.32,62,97.49,96.01
0,5,2,65,98.8,94.82,32,101.16,96.93
0,5,3,28,101.96,99.61,32,100.46,96.01
0,5,4,15,102.32,94.97,14,104.84,94.07
0,5,5,6,93.8,111.57,10,104.85,98.78
0,5,6+,24,100.37,96.86,16,103.36,103.48
0,6+,0,144,99.63,98.79,119,100.14,98.15
0,6+,1,101,95.88,95.09,152,98.78,95.61
0,6+,2,114,99.25,96.38,86,102.58,97.57
0,6+,3,69,102.52,97.3,49,98.11,99.41
0,6+,4,26,98.69,98.34,28,94.72,98.39
0,6+,5,24,100.37,96.86,16,103.36,103.48
0,6+,6+,67,100.09,99.13,56,103.09,95.39
1,1,1,3447,99.43,97.28,3405,99.48,97.16
1,1,2,1755,99.21,97.06,1778,98.52,96.7
1,1,3,1113,99.19,96.23,1125,98.8,96.56
1,1,4,485,98.39,96.4,494,98.97,96.83
1,1,5,260,99.48,95.85,208,100.15,96.79
1,1,6+,451,98.49,97.32,402,98.85,96.93
1,2,2,956,98.61,96.86,972,99.11,96.79
1,2,3,696,99.41,95.77,648,98.82,97.16
1,2,4,350,98.82,96.65,314,99.05,96.9
1,2,5,164,100.23,96.82,160,97.78,97.66
1,2,6+,257,97.99,96.66,268,99.88,97.53
1,3,3,387,98.02,96.81,348,98.46,95.15
1,3,4,197,99.73,99.43,171,98.88,96.9
1,3,5,90,99.69,96.07,97,97.28,97.18
1,3,6+,151,97.81,96.18,158,97.19,96.99
1,4,4,71,99.72,97.46,50,99.11,96.15
1,4,5,44,98.02,95.17,41,96.45,93.85
1,4,6+,72,97.55,96.74,70,97.65,93.81
1,5,5,28,98.28,97.32,23,101.76,94.34
1,5,6+,27,97.62,96.95,37,98.12,96.83
1,6+,6+,59,94.41,97.03,46,98.87,95.98
2,2,2,573,99.7,96.88,608,99,97.9
2,2,3,452,99.99,96.5,437,99.14,97.39
2,2,4,217,99.36,96.74,233,99.47,98.08
2,2,5,696,99.41,95.77,122,101.93,96.6
2,2,6+,185,98.45,97.18,199,100.38,96.18
2,3,3,257,99.98,96.2,283,98.84,98.06
2,3,4,149,99.49,97.09,127,99.07,95.32
2,3,5,74,95.84,96.59,94,95.71,94.87
2,3,6+,111,99.91,96.33,155,99.33,97.33
2,4,4,59,100.63,96.88,71,100.31,99.02
2,4,5,30,99.14,98.17,36,100.83,99.01
2,4,6+,59,98.95,97.51,73,100.62,97.74
2,5,5,15,101.73,97.01,15,101.56,100.54
2,5,6+,28,100,97.95,31,95.97,95.76
2,6+,6+,47,103.42,99.31,65,98.16,96.99
3,3,3,134,99.34,97.05,153,100.89,98.49
3,3,4,100,98.86,97.29,97,98.69,96.34
3,3,5,37,98.93,101.95,64,100,99.94
3,3,6+,85,99.96,97.63,89,99.84,98.81
3,4,4,44,97.66,95.84,35,103.36,101.89
3,4,5,27,103.52,100.66,25,96.44,98.2
3,4,6+,46,100.01,95.61,40,94.92,96.48
3,5,5,18,93.7,101.72,14,98,102.79
3,5,6+,26,105.6,103.83,35,98.2,94.12
3,6+,6+,31,99.04,96.89,59,101.7,99.82
4,4,4,41,96.38,93.9,29,98.16,97.14
4,4,5,16,98.86,101.83,20,94.67,94.64
4,4,6+,51,99.52,95.65,24,102.69,95.64
4,5,5,33,99.04,99.58,13,99.93,96.19
4,5,6+,44,99.69,96.61,18,96.64,94.43
4,6+,6+,55,98.91,96.12,20,101.37,96.27
5,5,5,30,98.29,94.21,28,94.22,95.09
5,5,6+,53,97.9,100.24,44,95.54,96.35
5,6+,6+,63,97.68,97.22,52,100.36,99.61
6+,6+,6+,126,99.78,97.86,144,100.29,95.74
