year,date,time,week,roadteam,roadfirst,roadsecond,roadfirsthalf,roadthird,roadforth,roadot,roadsecondhalf,roadtotal,awaylastfly,roadlast,roadnext,awaynextfly,hometeam,homefirst,homesecond,homefirsthalf,homethird,homeforth,homeot,homesecondhalf,hometotal,homenextfly,homenext,homelast,homelastfly,firstpoint,secondpoint,totalpoint,firstvalue,secondvalue,totalvalue,fgside,fglinetotal
1990,2-Nov,,Fri,Cleveland,23,23,46,33,22,0,55,101,,,0,NO,Boston,33,23,56,38,31,0,69,125,YES,0,,,102,124,226,95.13,113.83,208.95,-6,222
1990,2-Nov,,Fri,Brooklyn,26,19,45,11,25,0,36,81,,,0,NO,Indiana,31,21,52,20,28,0,48,100,YES,0,,,97,84,181,90.13,73.83,163.95,-13,209
1990,2-Nov,,Fri,New York,33,29,62,33,28,11,61,123,,,0,YES,New Orleans,19,35,54,30,39,7,69,123,YES,0,,,116,130,246,109.13,119.83,228.95,3,211
1990,2-Nov,,Fri,Philadelphia,39,28,67,27,30,0,57,124,,,0,YES,Chicago,28,20,48,33,35,0,68,116,YES,0,,,115,125,240,108.13,114.83,222.95,-5.5,211
1990,2-Nov,,Fri,Milwaukee,25,26,51,26,27,0,53,104,,,0,YES,Detroit,28,29,57,31,27,0,58,115,NO,0,,,108,111,219,101.13,100.83,201.95,-9.5,198
1990,2-Nov,,Fri,Orlando,23,34,57,28,26,0,54,111,,,0,YES,Atlanta,37,23,60,30,25,0,55,115,NO,0,,,117,109,226,110.13,98.83,208.95,-10,232.5
1990,2-Nov,,Fri,Washington,24,22,46,26,23,0,49,95,,,0,YES,Miami,29,25,54,31,34,0,65,119,NO,3,,,100,114,214,93.13,103.83,196.95,-3.5,211
1990,2-Nov,,Fri,Golden State,43,44,87,38,37,0,75,162,,,1,NO,Denver,41,42,83,39,36,0,75,158,YES,0,,,170,150,320,163.13,139.83,302.95,2,310
1990,2-Nov,,Fri,Dallas,27,16,43,23,19,0,42,85,,,0,YES,Minnesota,23,17,40,25,33,0,58,98,YES,0,,,83,100,183,76.13,89.83,165.95,3,185.5
1990,2-Nov,,Fri,Houston,27,32,59,16,14,0,30,89,,,0,NO,Portland,27,20,47,29,14,0,43,90,YES,0,,,106,73,179,99.13,62.83,161.95,-10,218
